;total_general;;;;BE _belgium;;;;BR_brazil;;;;CN_china;;;;;DE_germany;;;;ES_spain;;;;FR_france;;;;GB_great britain;;;;IN_india;;;;IT_italy;;;;NL_netherland;;;;RU_russia;;;;US_united states;;;;XX_others;;
;11;11;11;11;BE;BE;BE;BE;BR;BR;BR;BR;CN;CN;CN;CN;DE;DE;DE;DE;ES;ES;ES;ES;FR;FR;FR;FR;GB;GB;GB;GB;IN;IN;IN;IN;IT;IT;IT;IT;NL;NL;NL;NL;RU;RU;RU;RU;US;US;US;US;XX;XX;XX;XX
date;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason
2015-05;347735;161954;138924;46857;72939;29258;30223;13458;4449;2994;1147;308;8664;5793;1973;898;26934;12913;10752;3269;16297;9528;5076;1693;48036;26015;15605;6416;26335;10330;13361;2644;3689;2309;864;516;14168;7141;5207;1820;15591;7628;6257;1706;3666;2238;1125;303;23197;9505;11482;2210;83770;36302;35852;11616
2015-06;338175;142792;146331;49052;66111;22210;30597;13304;3393;2216;939;238;10135;6297;2835;1003;27796;12096;11670;4030;18786;10502;6120;2164;37361;17305;13977;6079;29723;11741;14494;3488;2418;1295;759;364;12208;5065;5662;1481;16036;7371;6455;2210;3042;1745;1002;295;24690;10231;11750;2709;86476;34718;40071;11687
2015-07;312938;167226;107443;38269;62024;27790;23960;10274;5081;3635;1102;344;12154;8445;2648;1061;21615;11507;7787;2321;19951;13517;4921;1513;30359;16722;9036;4601;25212;12590;9921;2701;2377;1528;568;281;10357;5908;3340;1109;13549;7411;4343;1795;2496;1364;858;274;23765;11318;10357;2090;83998;45491;28602;9905
2015-08;308573;174223;98993;35357;56449;25791;21410;9248;3419;2479;723;217;12990;8747;2308;1935;22258;12943;6939;2376;26774;18293;6320;2161;35019;20514;10298;4207;26343;14264;9837;2242;1813;1125;460;228;17451;11364;4502;1585;14331;8042;4489;1800;2702;1548;888;266;19963;9267;9167;1529;69061;39846;21652;7563
2015-09;327451;137091;142882;47478;66229;22940;30208;13081;3513;2449;778;286;8469;5357;2241;871;24303;9858;10944;3501;21057;12229;6737;2091;33738;15340;12650;5748;26995;10029;13705;3261;1784;850;724;210;12725;5460;5514;1751;15308;6319;6474;2515;2561;1205;1074;282;22317;7808;12275;2234;88452;37247;39558;11647
2015-10;346097;148588;146996;50513;72027;25372;32064;14591;4016;2745;1015;256;7458;4607;1852;999;26068;11132;11257;3679;21117;12514;6803;1800;44049;21811;15889;6349;25613;9416;13025;3172;1611;883;547;181;13746;6037;5931;1778;18465;8115;7742;2608;2465;1344;891;230;20585;7832;10707;2046;88877;36780;39273;12824
2015-11;244056;93020;112561;38475;55127;18839;24768;11520;1778;1193;452;133;4796;2845;1176;775;15983;5691;8023;2269;12694;6374;4967;1353;28664;12241;11672;4751;19293;6557;10411;2325;1006;461;401;144;10908;4395;5120;1393;13411;5272;5914;2225;1998;930;810;258;11470;3354;6815;1301;66928;24868;32032;10028
2015-12;230359;101373;93363;35623;56506;22063;21596;12847;2131;1619;382;130;4214;2644;1113;457;12334;4589;5800;1945;12866;7383;4212;1271;32735;15875;12076;4784;21761;9603;9767;2391;827;473;274;80;9857;4742;3820;1295;11808;4930;5123;1755;2417;1230;856;331;9922;3760;5385;777;52981;22462;22959;7560
2016-01;213283;81251;100038;31994;49295;17356;22599;9340;2183;1512;479;192;3955;2333;1288;334;14099;4582;7329;2188;11095;5443;4279;1373;28516;12296;11880;4340;17629;5779;9433;2417;807;328;334;145;9233;3696;4128;1409;11961;4208;5987;1766;2259;1233;781;245;9748;2912;5750;1086;52503;19573;25771;7159
2016-02;242976;92154;115718;35104;53748;19835;24017;9896;1574;1052;409;113;4387;2856;1341;190;16514;4965;9284;2265;12018;6044;4535;1439;34334;15546;13433;5355;21645;7520;11226;2899;998;388;496;114;10126;3881;4922;1323;13573;4851;6731;1991;1456;701;630;125;10741;3073;6350;1318;61862;21442;32344;8076
